Speaker,Phr_tagged,Phr,Int,Double,Adj,Lex_Adj,Adj_type,Noun,Verb,Inf_Verb,Number,Syllable,Age,Gender,Transcript_date,Birth_year,Edu,Generation,Job
CART19,porque_SCONJ_porque uno_PRON_uno hay_AUX_haber veces_NOUN_vez que_PRON_que la_DET_el mujer_NOUN_mujer lo_PRON_él trata_VERB_tratar a_ADP_a uno_PRON_uno bonito_ADJ_bonito _PUNCT_,porque uno hay veces que la mujer lo trata a uno bonito ,/,/,bonito,bonito,ambiguous,/,trata,tratar,CART19_160,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,y_CCONJ_y uno_PRON_uno entonces_ADV_entonces porque_SCONJ_porque lo_PRON_él trata_VERB_tratar bonito_ADJ_bonito a_ADP_a uno_PRON_uno _PUNCT_,y uno entonces porque lo trata bonito a uno ,/,/,bonito,bonito,ambiguous,/,trata,tratar,CART19_161,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,lo_PRON_él mismo_ADJ_mismo que_SCONJ_que cuando_SCONJ_cuando uno_PRON_uno está_AUX_estar en_ADP_en amores_NOUN_amor _PUNCT_,lo mismo que cuando uno está en amores ,/,/,mismo,mismo,ambiguous,/,está,estar,CART19_162,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,desde_ADP_desde jo_PROPN_jo desde_ADP_desde pelado_ADJ_pelado _PUNCT_,desde jo desde pelado ,/,/,pelado,pelado,predicative,/,/,/,CART19_163,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,y_CCONJ_y vengas_VERB_vengar y_CCONJ_y por_ADP_por está_NOUN_está celándola_ADJ_celándolo _PUNCT_,y vengas y por está celándola ,/,/,celándola,celándolo,attributive,está,vengas,vengar,CART19_164,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,Dicen_VERB_decir que_SCONJ_que el_DET_el hombre_NOUN_hombre cartagenero_ADJ_cartagenero es_AUX_ser machista_ADJ_machista ._PUNCT_.,Dicen que el hombre cartagenero es machista .,/,/,cartagenero,cartagenero,ambiguous,/,es,ser,CART19_165,5,34,hombre,2010,1976,medio,2,Topógrafo
CART19,Dicen_VERB_decir que_SCONJ_que el_DET_el hombre_NOUN_hombre cartagenero_ADJ_cartagenero es_AUX_ser machista_ADJ_machista ._PUNCT_.,Dicen que el hombre cartagenero es machista .,/,/,machista,machisto,predicative,/,es,ser,CART19_166,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,por_ADP_por ese_DET_ese lado_NOUN_lado soy_AUX_ser espontáneo_ADJ_espontáneo _PUNCT_,por ese lado soy espontáneo ,/,/,espontáneo,espontáneo,predicative,/,soy,ser,CART19_167,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,tiene_VERB_tener que_SCONJ_que sí_INTJ_sí es_AUX_ser muy_ADV_mucho allega_ADJ_allego mía_PRON_mío _PUNCT_,tiene que sí es muy allega mía ,muy,/,allega,allego,predicative,/,es,ser,CART19_168,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,y_CCONJ_y uno_PRON_uno está_AUX_estar pendiente_ADJ_pendiente _PUNCT_,y uno está pendiente ,/,/,pendiente,pendiente,predicative,/,está,estar,CART19_169,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,Eso_PRON_ese es_AUX_ser lo_PRON_él más_ADV_más fascinante_ADJ_fascinante que_SCONJ_que hay_AUX_haber ._PUNCT_.,Eso es lo más fascinante que hay .,/,/,fascinante,fascinante,ambiguous,/,es,ser,CART19_170,4,34,hombre,2010,1976,medio,2,Topógrafo
CART19,listo_ADJ_listo ._PUNCT_.,listo .,/,/,listo,listo,ambiguous,/,/,/,CART19_171,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,y_CCONJ_y abrí_VERB_abrir los_DET_el ojos_NOUN_ojo en_ADP_en un_DET_uno momento_NOUN_momento dado_ADJ_dado _PUNCT_,y abrí los ojos en un momento dado ,/,/,dado,dado,attributive,momento,abrí,abrir,CART19_172,2,34,hombre,2010,1976,medio,2,Topógrafo
CART19,un_DET_uno amor_NOUN_amor sincero_ADJ_sincero y_CCONJ_y ella_PRON_él no_ADV_no lo_PRON_él aprovechaba_VERB_aprovechar _PUNCT_,un amor sincero y ella no lo aprovechaba ,/,/,sincero,sincero,attributive,amor,aprovechaba,aprovechar,CART19_173,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,eso_PRON_ese es_AUX_ser lo_PRON_él primero_ADJ_primero que_PRON_que dicen_VERB_decir _PUNCT_,eso es lo primero que dicen ,/,/,primero,primero,predicative,/,es,ser,CART19_174,3,34,hombre,2010,1976,medio,2,Topógrafo
CART19,no_ADV_no sé_VERB_saber si_SCONJ_si es_AUX_ser bueno_ADJ_bueno o_CCONJ_o es_AUX_ser mala_ADJ_malo costumbre_NOUN_costumbre la_DET_el mía_DET_mía que_SCONJ_que yo_PRON_yo no_ADV_no _PUNCT_,no sé si es bueno o es mala costumbre la mía que yo no ,/,/,bueno,bueno,predicative,/,es,ser,CART19_175,2,34,hombre,2010,1976,medio,2,Topógrafo
